
signals: output/cutflow_out/999_all/364364.Sherpa_222_NNPDF30NNLO_lllljj_EW6_noHiggs.root, 12.0734(1), 8.24726(0.683094), 7.45873(0.617782), 6.96456(0.576852), 5.98083(0.495372), 

signals: output/cutflow_out/999_all/344235.PowhegPy8EG_NNPDF30_AZNLOCTEQ6L1_VBFH125_ZZ4lep_notau.root, 2.44481(1), 1.80712(0.739167), 1.77893(0.727635), 1.73356(0.709079), 1.0359(0.423714), 

higgses: output/cutflow_out/999_all/345038.PowhegPythia8EvtGen_NNPDF30_AZNLO_ZH125J_Zincl_MINLO.root, 0.483007(1), 0.0708658(0.146718), 0.0538834(0.111558), 0.0453955(0.0939853), 0.0282048(0.0583943), 

higgses: output/cutflow_out/999_all/345039.PowhegPythia8EvtGen_NNPDF30_AZNLO_WpH125J_Wincl_MINLO.root, 0.397694(1), 0.0628217(0.157965), 0.0479419(0.12055), 0.039108(0.0983369), 0.022382(0.0562795), 

higgses: output/cutflow_out/999_all/345040.PowhegPythia8EvtGen_NNPDF30_AZNLO_WmH125J_Wincl_MINLO.root, 0.270005(1), 0.0398638(0.147641), 0.0297301(0.11011), 0.024464(0.0906056), 0.0143835(0.0532712), 

gg4ls: output/cutflow_out/999_all/345060.PowhegPythia8EvtGen_NNLOPS_nnlo_30_ggH125_ZZ4l.root, 8.06829(1), 2.15663(0.267297), 1.90993(0.23672), 1.77396(0.219868), 1.05895(0.131248), 

gg4ls: output/cutflow_out/999_all/345706.Sherpa_222_NNPDF30NNLO_ggllll_130M4l.root, 25.3338(1), 7.11357(0.280794), 6.55937(0.258918), 6.35273(0.250761), 5.97483(0.235844), 

gg4ls: output/cutflow_out/999_all/345708.Sherpa_222_NNPDF30NNLO_ggllllNoHiggs_0M4l130.root, 0.345753(1), 0.0936808(0.270947), 0.0863331(0.249696), 0.0840562(0.243111), 0.00344452(0.00996236), 

tribosons: output/cutflow_out/999_all/364243.Sherpa_222_NNPDF30NNLO_WWZ_4l2v_EW6.root, 1.44394(1), 0.507123(0.351208), 0.335762(0.232532), 0.285475(0.197706), 0.127912(0.0885852), 

tribosons: output/cutflow_out/999_all/364245.Sherpa_222_NNPDF30NNLO_WZZ_5l1v_EW6.root, 0.57424(1), 0.214916(0.374262), 0.15014(0.261459), 0.119521(0.208138), 0.108813(0.189491), 

tribosons: output/cutflow_out/999_all/364247.Sherpa_222_NNPDF30NNLO_ZZZ_6l0v_EW6.root, 0.0715671(1), 0.0190568(0.266279), 0.0149161(0.208422), 0.0125251(0.175012), 0.0113098(0.158031), 

tribosons: output/cutflow_out/999_all/364248.Sherpa_222_NNPDF30NNLO_ZZZ_4l2v_EW6.root, 0.436442(1), 0.124726(0.285779), 0.0877864(0.201141), 0.0687319(0.157482), 0.0653464(0.149725), 

qq4ls: output/cutflow_out/999_all/364250.Sherpa_222_NNPDF30NNLO_llll.root, 176.732(1), 46.6651(0.264044), 36.6164(0.207186), 32.9928(0.186683), 21.8123(0.12342), 

qq4ls: output/cutflow_out/999_all/346340.PowhegPy8EG_A14NNPDF23_NNPDF30ME_ttH125_ZZ4l_allhad.root, 0.549323(1), 0.178498(0.324942), 0.118249(0.215264), 0.0695908(0.126685), 0.041236(0.075067), 

qq4ls: output/cutflow_out/999_all/346341.PowhegPy8EG_A14NNPDF23_NNPDF30ME_ttH125_ZZ4l_semilep.root, 0.874117(1), 0.270458(0.309407), 0.184813(0.211428), 0.0919125(0.105149), 0.0605133(0.0692279), 

qq4ls: output/cutflow_out/999_all/346342.PowhegPy8EG_A14NNPDF23_NNPDF30ME_ttH125_ZZ4l_dilep.root, 0.257007(1), 0.0902039(0.350978), 0.0633704(0.246571), 0.03378(0.131436), 0.0225107(0.0875879), 

WZs: output/cutflow_out/999_all/361601.PowhegPy8EG_WZlvll_mll4.root, 1.40734(1), 0.417153(0.296412), 0.374154(0.265858), 0.290892(0.206696), 0.208829(0.148386), 

rests: output/cutflow_out/999_all/410142.Sherpa_NNPDF30NNLO_ttll_mll5.root, 32.1139(1), 11.8418(0.368745), 8.63599(0.268917), 5.7608(0.179386), 2.48129(0.0772652), 

rests: output/cutflow_out/999_all/410472.PhPy8EG_A14_ttbar_hdamp258p75_dil.root, 9.22841(1), 3.22585(0.349557), 2.90707(0.315013), 1.80914(0.196041), 0.407577(0.0441654), 
